backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
gnn,A5,unconstrained_edit,20260727,187265,187265,12.35,788,394,394,0.335574,0.078431,0.431373,0.494555,0.146821,0.375691,0.250412,0.345671,0.072727,0.381818,0.503133,0.149488,0.376469,0.2514
gnn,A5,unconstrained_edit,20260728,187265,187265,9.34,788,394,394,0.346662,0.098039,0.45098,0.502884,0.174674,0.376314,0.25096,0.372468,0.127273,0.381818,0.522805,0.157496,0.375956,0.251124
gnn,A5,unconstrained_edit,20260729,187265,187265,15.25,788,394,394,0.319001,0.058824,0.470588,0.482436,0.142393,0.406548,0.274547,0.301558,0.036364,0.363636,0.469266,0.126723,0.40938,0.277261
gnn,A5,unconstrained_edit,20260730,187265,187265,9.46,788,394,394,0.314496,0.039216,0.431373,0.479035,0.140626,0.368826,0.245363,0.345974,0.054545,0.436364,0.504178,0.142236,0.369305,0.246115
gnn,A6,rule_pc_cng,20260721,187265,187265,9.51,788,394,394,0.36606,0.098039,0.470588,0.518786,0.16424,0.365988,0.243298,0.339567,0.054545,0.509091,0.499742,0.140847,0.365547,0.243412
gnn,A6,rule_pc_cng,20260722,187265,187265,15.4,788,394,394,0.380579,0.098039,0.509804,0.530868,0.168501,0.373628,0.248887,0.352338,0.109091,0.381818,0.50751,0.18051,0.373944,0.249521
gnn,A6,rule_pc_cng,20260723,187265,187265,15.64,788,394,394,0.341737,0.078431,0.470588,0.499973,0.162231,0.388662,0.26002,0.357641,0.109091,0.418182,0.511422,0.179713,0.393175,0.263943
gnn,A6,rule_pc_cng,20260724,187265,187265,9.31,788,394,394,0.353315,0.098039,0.431373,0.508978,0.164983,0.372878,0.248342,0.384589,0.181818,0.381818,0.531361,0.181406,0.373074,0.248899
gnn,A6,rule_pc_cng,20260725,187265,187265,15.19,788,394,394,0.37395,0.137255,0.470588,0.523718,0.168383,0.3733,0.248366,0.370195,0.145455,0.436364,0.520404,0.177398,0.375189,0.250008
gnn,A6,rule_pc_cng,20260726,187265,187265,15.54,788,394,394,0.33415,0.039216,0.45098,0.494956,0.160088,0.376068,0.250679,0.367165,0.145455,0.363636,0.517259,0.180905,0.376442,0.251354
gnn,A6,rule_pc_cng,20260727,187265,187265,12.65,788,394,394,0.345985,0.058824,0.509804,0.504285,0.155472,0.375,0.249935,0.335065,0.072727,0.436364,0.494933,0.177389,0.375013,0.250339
gnn,A6,rule_pc_cng,20260728,187265,187265,9.23,788,394,394,0.352194,0.098039,0.431373,0.507659,0.165292,0.375409,0.250283,0.321753,0.090909,0.309091,0.482186,0.158215,0.37492,0.250348
gnn,A6,rule_pc_cng,20260729,187265,187265,15.39,788,394,394,0.354622,0.078431,0.490196,0.510342,0.157474,0.365942,0.243067,0.341385,0.090909,0.436364,0.499616,0.178336,0.366847,0.243989
gnn,A6,rule_pc_cng,20260730,187265,187265,12.23,788,394,394,0.383357,0.117647,0.490196,0.532177,0.172405,0.378077,0.252216,0.358355,0.127273,0.381818,0.512281,0.186111,0.378247,0.252752
morgan_mlp,A0,positive_only,20260721,1180673,1180673,0.0,0,0,0,0.398553,0.117647,0.568627,0.544749,0.177532,0.487525,0.87457,0.418658,0.109091,0.672727,0.562281,0.161968,0.49049,0.873693
morgan_mlp,A0,positive_only,20260722,1180673,1180673,0.0,0,0,0,0.418674,0.137255,0.607843,0.56025,0.192013,0.470379,0.87459,0.436234,0.109091,0.745455,0.576288,0.160711,0.479076,0.873697
morgan_mlp,A0,positive_only,20260723,1180673,1180673,0.0,0,0,0,0.379458,0.078431,0.588235,0.530939,0.167751,0.31612,0.874889,0.40697,0.090909,0.636364,0.553466,0.15544,0.303529,0.874183
morgan_mlp,A0,positive_only,20260724,1180673,1180673,0.0,0,0,0,0.381746,0.098039,0.529412,0.531778,0.172682,0.321011,0.874866,0.401385,0.090909,0.636364,0.548758,0.155801,0.314925,0.874145
morgan_mlp,A0,positive_only,20260725,1180673,1180673,0.0,0,0,0,0.391223,0.098039,0.568627,0.539373,0.173593,0.294053,0.874871,0.410476,0.127273,0.654545,0.554695,0.158865,0.285244,0.874145
morgan_mlp,A0,positive_only,20260726,1180673,1180673,0.0,0,0,0,0.406256,0.117647,0.607843,0.551047,0.176985,0.531582,0.874453,0.424286,0.090909,0.763636,0.567245,0.162431,0.515494,0.873485
morgan_mlp,A0,positive_only,20260727,1180673,1180673,0.0,0,0,0,0.387628,0.098039,0.568627,0.536816,0.17072,0.516848,0.874399,0.40987,0.090909,0.709091,0.555951,0.163286,0.499484,0.873433
morgan_mlp,A0,positive_only,20260728,1180673,1180673,0.0,0,0,0,0.378478,0.078431,0.607843,0.529979,0.169075,0.335703,0.87484,0.428961,0.109091,0.763636,0.570724,0.160252,0.31946,0.874083
morgan_mlp,A0,positive_only,20260729,1180673,1180673,0.0,0,0,0,0.376517,0.078431,0.568627,0.528731,0.167558,0.480178,0.874581,0.415455,0.090909,0.690909,0.560425,0.154999,0.485921,0.873689
morgan_mlp,A0,positive_only,20260730,1180673,1180673,0.0,0,0,0,0.395612,0.098039,0.627451,0.543309,0.169715,0.318551,0.874849,0.441688,0.127273,0.763636,0.580295,0.161699,0.310337,0.874103
morgan_mlp,A1,random_mismatch,20260721,1180673,1180673,0.0,0,0,0,0.595331,0.431373,0.666667,0.691396,0.301378,0.341557,0.240803,0.632489,0.490909,0.690909,0.72049,0.305193,0.343439,0.236471
morgan_mlp,A1,random_mismatch,20260722,1180673,1180673,0.0,0,0,0,0.582446,0.411765,0.627451,0.681593,0.315403,0.361534,0.241031,0.598831,0.436364,0.636364,0.695431,0.298521,0.369145,0.247533
morgan_mlp,A1,random_mismatch,20260723,1180673,1180673,0.0,0,0,0,0.589146,0.411765,0.686275,0.687329,0.306014,0.425073,0.29731,0.62474,0.472727,0.727273,0.714883,0.308068,0.427967,0.298539
morgan_mlp,A1,random_mismatch,20260724,1180673,1180673,0.0,0,0,0,0.576821,0.392157,0.666667,0.67788,0.324001,0.331971,0.219572,0.617294,0.472727,0.654545,0.708663,0.311273,0.338625,0.227503
morgan_mlp,A1,random_mismatch,20260725,1180673,1180673,0.0,0,0,0,0.593394,0.411765,0.647059,0.690604,0.315988,0.320958,0.228522,0.602771,0.436364,0.672727,0.698421,0.312709,0.322687,0.229095
morgan_mlp,A1,random_mismatch,20260726,1180673,1180673,12.6,788,394,394,0.580509,0.392157,0.666667,0.680852,0.309716,0.404533,0.300008,0.609134,0.454545,0.727273,0.703038,0.295946,0.415047,0.304811
morgan_mlp,A1,random_mismatch,20260727,1180673,1180673,7.46,788,394,394,0.604132,0.431373,0.686275,0.698752,0.306444,0.367574,0.254072,0.615779,0.454545,0.690909,0.708458,0.310629,0.370929,0.253902
morgan_mlp,A1,random_mismatch,20260728,1180673,1180673,11.16,788,394,394,0.557586,0.372549,0.647059,0.663132,0.314625,0.338157,0.231061,0.578745,0.436364,0.618182,0.678454,0.299614,0.339373,0.238572
morgan_mlp,A1,random_mismatch,20260729,1180673,1180673,10.67,788,394,394,0.605579,0.431373,0.666667,0.699807,0.30868,0.399241,0.280778,0.627186,0.490909,0.690909,0.716469,0.294947,0.407032,0.28516
morgan_mlp,A1,random_mismatch,20260730,1180673,1180673,10.15,788,394,394,0.598413,0.45098,0.647059,0.693446,0.296979,0.400944,0.298172,0.635325,0.490909,0.672727,0.722943,0.301257,0.408236,0.294458
morgan_mlp,A2,random_corruption,20260721,1180673,1180673,4.98,788,394,394,0.492974,0.27451,0.647059,0.615431,0.25497,0.389931,0.256058,0.501537,0.272727,0.672727,0.622951,0.324049,0.394771,0.25855
morgan_mlp,A2,random_corruption,20260722,1180673,1180673,7.08,788,394,394,0.535317,0.313725,0.705882,0.648795,0.29822,0.491424,0.42879,0.63684,0.454545,0.781818,0.72558,0.399041,0.489686,0.423337
morgan_mlp,A2,random_corruption,20260723,1180673,1180673,12.09,788,394,394,0.544795,0.333333,0.647059,0.65537,0.286197,0.441475,0.392377,0.555325,0.290909,0.781818,0.666081,0.367024,0.458257,0.393458
morgan_mlp,A2,random_corruption,20260724,1180673,1180673,19.27,788,394,394,0.567157,0.372549,0.705882,0.672672,0.304464,0.377921,0.334951,0.568658,0.345455,0.727273,0.674722,0.374033,0.373688,0.338832
morgan_mlp,A2,random_corruption,20260725,1180673,1180673,13.29,788,394,394,0.577311,0.392157,0.745098,0.680411,0.351868,0.407217,0.327057,0.612597,0.381818,0.763636,0.708682,0.395807,0.414697,0.329094
morgan_mlp,A2,random_corruption,20260726,1180673,1180673,6.06,788,394,394,0.555392,0.352941,0.705882,0.663364,0.294381,0.491578,0.451031,0.540346,0.290909,0.745455,0.653852,0.345238,0.485692,0.446526
morgan_mlp,A2,random_corruption,20260727,1180673,1180673,5.9,788,394,394,0.591667,0.411765,0.72549,0.690719,0.350367,0.449902,0.357203,0.624719,0.436364,0.836364,0.717191,0.398151,0.446885,0.352661
morgan_mlp,A2,random_corruption,20260728,1180673,1180673,5.37,788,394,394,0.605906,0.431373,0.72549,0.701181,0.315315,0.521981,0.474106,0.56987,0.345455,0.745455,0.675993,0.366436,0.516465,0.460291
morgan_mlp,A2,random_corruption,20260729,1180673,1180673,5.53,788,394,394,0.558847,0.372549,0.647059,0.665215,0.304394,0.501685,0.446728,0.575931,0.345455,0.763636,0.680988,0.390144,0.507,0.443793
morgan_mlp,A2,random_corruption,20260730,1180673,1180673,5.65,788,394,394,0.589379,0.411765,0.686275,0.688591,0.31387,0.508792,0.47218,0.595931,0.363636,0.763636,0.696184,0.333691,0.504184,0.47024
morgan_mlp,A3,tanimoto_retrieval,20260721,1180673,1180673,3.32,788,394,394,0.422269,0.137255,0.666667,0.563479,0.193174,0.428832,0.749668,0.440628,0.163636,0.636364,0.577469,0.179402,0.426563,0.741419
morgan_mlp,A3,tanimoto_retrieval,20260722,1180673,1180673,9.63,788,394,394,0.385201,0.078431,0.607843,0.535535,0.186528,0.395022,0.749715,0.385173,0.109091,0.563636,0.534836,0.168404,0.357734,0.741455
morgan_mlp,A3,tanimoto_retrieval,20260723,1180673,1180673,5.34,788,394,394,0.403128,0.098039,0.666667,0.549454,0.192241,0.448179,0.749354,0.406688,0.090909,0.654545,0.552685,0.182143,0.449178,0.741011
morgan_mlp,A3,tanimoto_retrieval,20260724,1180673,1180673,7.55,788,394,394,0.385154,0.058824,0.627451,0.53629,0.184585,0.445921,0.749586,0.424113,0.127273,0.581818,0.565212,0.182255,0.446959,0.741227
morgan_mlp,A3,tanimoto_retrieval,20260725,1180673,1180673,4.98,788,394,394,0.410317,0.098039,0.647059,0.554937,0.18531,0.440853,0.749504,0.437922,0.127273,0.690909,0.57665,0.175559,0.460765,0.7412
morgan_mlp,A3,tanimoto_retrieval,20260726,1180673,1180673,10.57,788,394,394,0.395612,0.078431,0.647059,0.544026,0.183454,0.455644,0.749563,0.427316,0.127273,0.636364,0.568108,0.179844,0.449416,0.74133
morgan_mlp,A3,tanimoto_retrieval,20260727,1180673,1180673,7.4,788,394,394,0.415033,0.117647,0.647059,0.558347,0.191708,0.445551,0.74922,0.44487,0.145455,0.672727,0.581536,0.174489,0.46751,0.741005
morgan_mlp,A3,tanimoto_retrieval,20260728,1180673,1180673,11.25,788,394,394,0.376331,0.058824,0.588235,0.528943,0.188724,0.460519,0.7495,0.404589,0.109091,0.654545,0.550755,0.17547,0.490451,0.74123
morgan_mlp,A3,tanimoto_retrieval,20260729,1180673,1180673,5.21,788,394,394,0.38352,0.058824,0.666667,0.534981,0.18035,0.384722,0.749641,0.422446,0.127273,0.618182,0.564142,0.171497,0.383136,0.741372
morgan_mlp,A3,tanimoto_retrieval,20260730,1180673,1180673,10.15,788,394,394,0.39986,0.098039,0.647059,0.546988,0.186909,0.475144,0.749333,0.424286,0.127273,0.654545,0.565634,0.171068,0.490338,0.741012
morgan_mlp,A4,template_perturbation,20260721,1180673,1180673,6.95,788,394,394,0.625794,0.45098,0.72549,0.715491,0.317646,0.405139,0.266259,0.554156,0.4,0.581818,0.659595,0.335434,0.398786,0.265717
morgan_mlp,A4,template_perturbation,20260722,1180673,1180673,5.02,788,394,394,0.639799,0.490196,0.705882,0.725474,0.296377,0.396491,0.276181,0.562814,0.4,0.654545,0.666728,0.321158,0.384177,0.271704
morgan_mlp,A4,template_perturbation,20260723,1180673,1180673,6.46,788,394,394,0.552381,0.352941,0.666667,0.65908,0.278132,0.360146,0.23908,0.544524,0.4,0.581818,0.651164,0.27559,0.349857,0.238176
morgan_mlp,A4,template_perturbation,20260724,1180673,1180673,4.55,788,394,394,0.600233,0.45098,0.666667,0.694252,0.270029,0.396758,0.296545,0.532381,0.363636,0.545455,0.642611,0.314142,0.373849,0.278388
morgan_mlp,A4,template_perturbation,20260725,1180673,1180673,3.74,788,394,394,0.614426,0.45098,0.686275,0.706313,0.311307,0.408166,0.271175,0.537619,0.363636,0.6,0.647283,0.32156,0.404911,0.272077
morgan_mlp,A4,template_perturbation,20260726,1180673,1180673,8.27,788,394,394,0.629038,0.490196,0.666667,0.716279,0.278143,0.359459,0.263859,0.543701,0.381818,0.563636,0.65123,0.291571,0.330818,0.245685
morgan_mlp,A4,template_perturbation,20260727,1180673,1180673,13.12,788,394,394,0.645331,0.509804,0.686275,0.729293,0.317373,0.353738,0.231788,0.564437,0.418182,0.563636,0.666523,0.377005,0.342978,0.229595
morgan_mlp,A4,template_perturbation,20260728,1180673,1180673,13.44,788,394,394,0.636158,0.490196,0.666667,0.722888,0.311128,0.410881,0.27261,0.557424,0.381818,0.618182,0.663063,0.307921,0.406344,0.273409
morgan_mlp,A4,template_perturbation,20260729,1180673,1180673,19.98,788,394,394,0.646872,0.529412,0.647059,0.729287,0.288129,0.380792,0.263497,0.575779,0.436364,0.563636,0.675698,0.325213,0.363875,0.25215
morgan_mlp,A4,template_perturbation,20260730,1180673,1180673,7.8,788,394,394,0.603361,0.45098,0.686275,0.696881,0.283189,0.362373,0.263596,0.550238,0.381818,0.618182,0.656747,0.333742,0.345594,0.249414
morgan_mlp,A5,unconstrained_edit,20260721,1180673,1180673,19.11,788,394,394,0.576517,0.392157,0.627451,0.678897,0.296545,0.487501,0.444466,0.620909,0.381818,0.836364,0.715733,0.385256,0.527463,0.484006
morgan_mlp,A5,unconstrained_edit,20260722,1180673,1180673,17.76,788,394,394,0.568207,0.352941,0.72549,0.67395,0.284432,0.516244,0.477909,0.647879,0.436364,0.836364,0.735624,0.409354,0.54121,0.502813
morgan_mlp,A5,unconstrained_edit,20260723,1180673,1180673,18.06,788,394,394,0.575537,0.392157,0.607843,0.678138,0.319475,0.516466,0.481042,0.612424,0.381818,0.8,0.709008,0.403155,0.546613,0.506719
morgan_mlp,A5,unconstrained_edit,20260724,1180673,1180673,18.78,788,394,394,0.593838,0.411765,0.705882,0.692783,0.344421,0.55506,0.518362,0.646667,0.436364,0.818182,0.734604,0.383549,0.572123,0.544118
morgan_mlp,A5,unconstrained_edit,20260725,1180673,1180673,15.3,788,394,394,0.571942,0.333333,0.784314,0.677834,0.313381,0.558158,0.507038,0.594848,0.381818,0.745455,0.69458,0.384755,0.560235,0.523021
morgan_mlp,A5,unconstrained_edit,20260726,1180673,1180673,14.13,788,394,394,0.596965,0.392157,0.72549,0.695524,0.303522,0.546434,0.510521,0.617576,0.4,0.781818,0.712307,0.3542,0.556382,0.522824
morgan_mlp,A5,unconstrained_edit,20260727,1180673,1180673,6.64,788,394,394,0.593371,0.392157,0.705882,0.692446,0.322219,0.545077,0.482655,0.637446,0.436364,0.781818,0.726568,0.369923,0.55914,0.50218
morgan_mlp,A5,unconstrained_edit,20260728,1180673,1180673,8.76,788,394,394,0.569328,0.352941,0.784314,0.67505,0.304064,0.53941,0.495093,0.654242,0.472727,0.745455,0.739575,0.407856,0.550042,0.515379
morgan_mlp,A5,unconstrained_edit,20260729,1180673,1180673,6.58,788,394,394,0.562792,0.352941,0.705882,0.669613,0.345808,0.570554,0.524908,0.634848,0.436364,0.818182,0.725072,0.415717,0.591305,0.54795
morgan_mlp,A5,unconstrained_edit,20260730,1180673,1180673,8.92,788,394,394,0.59253,0.372549,0.745098,0.692662,0.34031,0.487291,0.443266,0.667879,0.454545,0.836364,0.75107,0.381637,0.506847,0.473112
morgan_mlp,A6,rule_pc_cng,20260721,1180673,1180673,6.71,788,394,394,0.563959,0.372549,0.686275,0.669201,0.3616,0.522636,0.40044,0.502424,0.309091,0.545455,0.622428,0.357478,0.514591,0.403126
morgan_mlp,A6,rule_pc_cng,20260722,1180673,1180673,6.97,788,394,394,0.534851,0.352941,0.588235,0.64555,0.345445,0.44612,0.307159,0.538961,0.345455,0.618182,0.650149,0.369597,0.467119,0.328273
morgan_mlp,A6,rule_pc_cng,20260723,1180673,1180673,6.37,788,394,394,0.549393,0.352941,0.627451,0.658429,0.375807,0.568273,0.489181,0.513939,0.309091,0.654545,0.632064,0.369278,0.581649,0.501466
morgan_mlp,A6,rule_pc_cng,20260724,1180673,1180673,8.64,788,394,394,0.56606,0.352941,0.666667,0.671675,0.387082,0.594419,0.546841,0.554545,0.327273,0.709091,0.66399,0.387091,0.595362,0.545588
morgan_mlp,A6,rule_pc_cng,20260725,1180673,1180673,6.73,788,394,394,0.623389,0.470588,0.705882,0.713893,0.365268,0.462731,0.341236,0.526234,0.327273,0.618182,0.640501,0.351328,0.453097,0.346232
morgan_mlp,A6,rule_pc_cng,20260726,1180673,1180673,6.06,788,394,394,0.557236,0.333333,0.705882,0.665449,0.383169,0.621065,0.56044,0.519394,0.309091,0.618182,0.636127,0.395272,0.620782,0.559969
morgan_mlp,A6,rule_pc_cng,20260727,1180673,1180673,6.71,788,394,394,0.551331,0.352941,0.627451,0.659434,0.338226,0.448015,0.307646,0.514935,0.345455,0.545455,0.630525,0.334881,0.460476,0.326822
morgan_mlp,A6,rule_pc_cng,20260728,1180673,1180673,8.61,788,394,394,0.528478,0.294118,0.666667,0.643371,0.338823,0.478856,0.405389,0.531515,0.327273,0.636364,0.645452,0.364141,0.476954,0.421076
morgan_mlp,A6,rule_pc_cng,20260729,1180673,1180673,8.97,788,394,394,0.539776,0.294118,0.72549,0.652746,0.385219,0.529185,0.492232,0.568658,0.345455,0.727273,0.674722,0.399613,0.505074,0.481641
morgan_mlp,A6,rule_pc_cng,20260730,1180673,1180673,3.85,788,394,394,0.544818,0.333333,0.588235,0.655327,0.35353,0.509701,0.390575,0.492641,0.290909,0.563636,0.614529,0.347456,0.5096,0.400391
